stop_id,stop_name,stop_lat,stop_lon,stop_sequence,# entering,# leaving,total_ridership,Percentage,Actual,distance_to_next,distance_from_prev,is_terminal,avg_travel_time_to_next,avg_dwell_time,avg_travel_time_in_seconds,accel_decel_time,run_time
303785,BROOKLYN AV/MONTGOMERY ST,40.664816,-73.945481,43,9,2,11,0.007823613,17.51434407,67.32743663,196.1853762,0,0.530722892,5.521453236,31.84337352,11.46377219,14.8581481
303786,EMPIRE BLVD/BROOKLYN AV,40.664259,-73.945794,44,5,13,18,0.012802276,28.65983615,241.0211682,67.32743663,0,1.326506024,5.853287125,79.59036144,11.46377219,62.27330213
303787,EMPIRE BLVD/NEW YORK AV,40.664137,-73.948647,45,3,10,13,0.009246088,20.69877006,233.9342913,241.0211682,0,1.29497992,5.616262909,77.6987952,11.46377219,60.6187601
303788,EMPIRE BLVD/NOSTRAND AV,40.663963,-73.951411,46,0,167,167,0.118776671,265.8995893,200.0693042,233.9342913,0,1.105421687,12.91660827,66.32530122,11.46377219,41.94492076
303789,EMPIRE BLVD/ROGERS AV,40.663748,-73.953766,47,0,4,4,0.00284495,6.368851981,275.7032555,200.0693042,0,1.525502008,5.189619346,91.53012048,11.46377219,74.87672895
901744,EMPIRE BLVD/BEDFORD AV,40.663578,-73.957027,48,0,42,42,0.029871977,66.87295028,336.831698,275.7032555,0,1.927710843,6.991003269,115.6626506,11.46377219,97.20787512
303791,WASHINGTON AV/EMPIRE BLVD,40.663103,-73.960971,49,0,7,7,0.004978663,11.14549209,313.8759945,336.831698,0,2.277108434,5.331833889,136.626506,11.46377219,119.8309
901735,LINCOLN RD/OCEAN AV,40.660582,-73.962645,50,0,217,217,0.154338549,345.5102457,0,313.8759945,1,,15.2868503,,11.46377219,
,,,,,703,703,1406,,,,,,,,,11.46377219,
,,,,,,,,1.000000003,2238.651646,,,,,,,11.46377219,
,,,,,,,,,,,,,,,,11.46377219,
,,,,,,,,,,,,,,,,11.46377219,
,,,,,,,,,,,,,,,,11.46377219,
,,,,,,,,,,,,,,,,11.46377219,
,,,,,,3416,,,,,,,,,,11.46377219,
,,,,,,0.411592506,,,,,,,,,,11.46377219,
,,,,,,2238.651639,,,,,,,,,,11.46377219,
