scenario_number,stop_index,stop_id,stop_sequence,baseline_dwell_time,scenario_dwell_time
3,25,303765.0,26.0,5.521453236,5.491540899584258
3,26,303766.0,27.0,5.426643562,5.497716158274062
3,27,308085.0,28.0,5.474048432,5.4986461765221515
3,28,303769.0,29.0,5.758477451,5.698481683932594
3,29,303770.0,30.0,5.379238692,5.358640908444804
3,30,303771.0,31.0,5.331833889,5.328472502114045
3,31,308023.0,32.0,5.616262909,5.70187613148735
3,32,303774.0,33.0,5.663667778,5.524795904439521
3,33,303776.0,34.0,5.995501668,6.025308322230612
3,34,303777.0,35.0,5.995501668,5.870940454543483
3,35,303778.0,36.0,6.801383922,7.088348959214323
3,36,303779.0,37.0,5.426643562,5.352726064222353
3,37,303780.0,38.0,5.521453236,5.426485344629523
3,38,303781.0,39.0,5.568858105,5.561011740717323
3,39,303782.0,40.0,5.474048432,5.4470716563951
3,40,303783.0,41.0,5.094809673,5.103550078559246
3,41,303784.0,42.0,5.331833889,5.296588985237862
3,42,303785.0,43.0,5.521453236,5.50540456374313
3,43,303786.0,44.0,5.853287125,5.937699873982481
3,44,303787.0,45.0,5.616262909,5.632924575898456
3,45,303788.0,46.0,12.91660827,12.632143486337526
3,46,303789.0,47.0,5.189619346,5.165328956010701
3,47,901744.0,48.0,6.991003269,6.963335910906981
3,48,303791.0,49.0,5.331833889,5.358872192671288
3,49,901735.0,50.0,15.2868503,16.23953972395183
4,0,305287.0,1.0,7.512456504,7.648917399102452
4,1,308189.0,2.0,6.848788792,6.553050009052097
4,2,305167.0,3.0,6.848788792,6.972779065115048
4,3,308188.0,4.0,7.275432355,7.468143626858292
4,4,305170.0,5.0,8.128719478,8.086953444328389
4,5,305171.0,6.0,6.279930687,6.340950739856075
4,6,305172.0,7.0,5.663667778,5.770035698312696
4,7,305173.0,8.0,5.663667778,5.577333785363475
4,8,305174.0,9.0,5.331833889,5.361489822597335
4,9,305175.0,10.0,5.189619346,5.147764870809891
4,10,305299.0,11.0,7.085812942,6.979986409887321
4,11,305300.0,12.0,6.564359706,6.798235193481106
4,12,305301.0,13.0,7.559861374,7.598586968892778
4,13,306570.0,14.0,5.663667778,5.738756543409437
4,14,305304.0,15.0,10.49896144,11.123991085513218
4,15,305305.0,16.0,5.426643562,5.433879700275582
4,16,305306.0,17.0,6.185121014,6.160546360025368
4,17,305308.0,18.0,5.237024216,5.237705441566935
4,18,305310.0,19.0,5.474048432,5.550017788431913
4,19,305311.0,20.0,5.331833889,5.338879090012128
4,20,305312.0,21.0,6.185121014,6.31209711645845
4,21,306696.0,22.0,6.564359706,6.379917666000999
4,22,303762.0,23.0,5.189619346,5.19419728323965
4,23,308067.0,24.0,5.284429019,5.3332384516810105
4,24,303764.0,25.0,5.568858105,5.4484290270325415
4,25,303765.0,26.0,5.521453236,5.531150387939042
4,26,303766.0,27.0,5.426643562,5.418011155811691
4,27,308085.0,28.0,5.474048432,5.454517294502989
4,28,303769.0,29.0,5.758477451,5.747001837280031
4,29,303770.0,30.0,5.379238692,5.373864873020321
4,30,303771.0,31.0,5.331833889,5.337432071377502
4,31,308023.0,32.0,5.616262909,5.49450282989229
4,32,303774.0,33.0,5.663667778,5.709728141666655
4,33,303776.0,34.0,5.995501668,5.876289946478134
4,34,303777.0,35.0,5.995501668,5.80757628878782
4,35,303778.0,36.0,6.801383922,6.52114235319159
4,36,303779.0,37.0,5.426643562,5.414315133271608
4,37,303780.0,38.0,5.521453236,5.559386529869465
4,38,303781.0,39.0,5.568858105,5.661820886490048
4,39,303782.0,40.0,5.474048432,5.479920392033214
4,40,303783.0,41.0,5.094809673,5.096090160866012
4,41,303784.0,42.0,5.331833889,5.390280728494015
4,42,303785.0,43.0,5.521453236,5.460323909989557
4,43,303786.0,44.0,5.853287125,5.746054464701213
4,44,303787.0,45.0,5.616262909,5.596643349243312
4,45,303788.0,46.0,12.91660827,13.896903634916614
4,46,303789.0,47.0,5.189619346,5.199062397685805
4,47,901744.0,48.0,6.991003269,7.066168367902624
4,48,303791.0,49.0,5.331833889,5.357850944100048
4,49,901735.0,50.0,15.2868503,15.326909669019152
5,0,305287.0,1.0,7.512456504,7.781592073897049
5,1,308189.0,2.0,6.848788792,7.243332995200792
5,2,305167.0,3.0,6.848788792,6.951401202173524
5,3,308188.0,4.0,7.275432355,7.274875795114165
5,4,305170.0,5.0,8.128719478,7.881394202024794
5,5,305171.0,6.0,6.279930687,6.48321836079176
5,6,305172.0,7.0,5.663667778,5.6206466598419444
5,7,305173.0,8.0,5.663667778,5.661199714591508
5,8,305174.0,9.0,5.331833889,5.361049931766345
5,9,305175.0,10.0,5.189619346,5.192838600004934
5,10,305299.0,11.0,7.085812942,7.003524046366697
5,11,305300.0,12.0,6.564359706,6.505672428037649
5,12,305301.0,13.0,7.559861374,7.499981100612199
5,13,306570.0,14.0,5.663667778,5.811682046603766
5,14,305304.0,15.0,10.49896144,10.209510086785357
5,15,305305.0,16.0,5.426643562,5.470704833720727
5,16,305306.0,17.0,6.185121014,6.091942242581705
5,17,305308.0,18.0,5.237024216,5.287516256421717
5,18,305310.0,19.0,5.474048432,5.506321943989953
5,19,305311.0,20.0,5.331833889,5.28253808411972
5,20,305312.0,21.0,6.185121014,6.353907983080853
5,21,306696.0,22.0,6.564359706,6.559154107736473
5,22,303762.0,23.0,5.189619346,5.215212762417985
5,23,308067.0,24.0,5.284429019,5.314178406288673
