scenario_number,stop_index,stop_id,stop_sequence,baseline_dwell_time,scenario_dwell_time
2,0,901736,1,10.83940523,10.89091462
2,1,303710,2,6.003647774,6.132004796
2,2,303711,3,5.319342473,5.264384331
2,3,303712,4,7.144156608,7.239259584
2,4,303713,5,13.43976537,11.9975403
2,5,303714,6,6.140508834,6.048250103
2,6,306974,7,5.456203534,5.454770571
2,7,306322,8,6.277369894,6.16080855
2,8,303717,9,5.775546007,5.781631954
2,9,303718,10,5.13686106,5.138954999
2,10,308136,11,11.88867336,12.37139999
2,11,303720,12,5.54744424,5.599195111
2,12,303722,13,5.54744424,5.595184623
2,13,303723,14,5.27372212,5.281001153
2,14,303724,15,5.091240707,5.07736362
2,15,303725,16,5.319342473,5.371852379
2,16,303726,17,15.49268127,16.45558509
2,17,303727,18,5.319342473,5.320069051
2,18,303728,19,5.13686106,5.155745775
2,19,303729,20,5.27372212,5.264158354
2,20,303730,21,5.821166361,5.700835223
2,21,303731,22,5.866786714,5.803231538
2,22,303732,23,5.593064594,5.584175183
2,23,303733,24,5.54744424,5.562974909
2,24,303734,25,5.638684947,5.675378419
2,25,303735,26,6.322990248,6.306017055
2,26,303736,27,7.326638021,7.217702579
2,27,303737,28,6.870434488,6.972736593
2,28,303738,29,5.501823887,5.424325981
2,29,304663,30,6.186129187,6.280355253
2,30,304664,31,10.10947958,10.08462781
2,31,306600,32,5.729925654,5.679793032
2,32,306676,33,5.501823887,5.473830556
2,33,306677,34,5.364962827,5.379412066
2,34,306474,35,5.593064594,5.597506195
2,35,305263,36,5.958027421,5.980503497
2,36,305264,37,5.729925654,5.637933634
2,37,305265,38,6.733573428,6.725023591
2,38,306476,39,8.284665443,8.373517347
2,39,307114,40,7.144156608,6.986550696
2,40,306622,41,7.554739788,7.923481343
2,41,305271,42,6.414230954,6.566848865
2,42,305272,43,6.414230954,6.620565816
2,43,306623,44,5.501823887,5.552652129
2,44,307121,45,5.091240707,5.101295593
2,45,305155,46,6.003647774,6.141607746
2,46,305156,47,6.094888481,6.185579838
2,47,305157,48,7.96532297,8.116007837
2,48,305159,49,7.691600848,8.161660524
2,49,308186,50,7.782841555,7.397749563
2,50,305284,51,7.919702614,7.251619225
2,51,308187,52,5.6843053,5.770179736
2,52,305286,53,8.330285796,8.015171678
3,0,901736,1,10.83940523,11.44460488
3,1,303710,2,6.003647774,5.999129865
3,2,303711,3,5.319342473,5.373506683
3,3,303712,4,7.144156608,7.114660783
3,4,303713,5,13.43976537,12.96982063
3,5,303714,6,6.140508834,5.962522431
3,6,306974,7,5.456203534,5.474058644
3,7,306322,8,6.277369894,6.394000002
3,8,303717,9,5.775546007,5.695417997
3,9,303718,10,5.13686106,5.142198598
3,10,308136,11,11.88867336,12.49391155
3,11,303720,12,5.54744424,5.466694699
3,12,303722,13,5.54744424,5.461171064
3,13,303723,14,5.27372212,5.281525121
3,14,303724,15,5.091240707,5.090897121
3,15,303725,16,5.319342473,5.384500842
3,16,303726,17,15.49268127,16.03325169
3,17,303727,18,5.319342473,5.344955446
3,18,303728,19,5.13686106,5.133569779
3,19,303729,20,5.27372212,5.274498045
3,20,303730,21,5.821166361,5.869543329
3,21,303731,22,5.866786714,5.692829332
3,22,303732,23,5.593064594,5.629888629
3,23,303733,24,5.54744424,5.469218687
3,24,303734,25,5.638684947,5.67856396
3,25,303735,26,6.322990248,6.359974303
3,26,303736,27,7.326638021,7.069454451
3,27,303737,28,6.870434488,6.842254977
3,28,303738,29,5.501823887,5.464065137
