scenario_number,stop_index,stop_id,stop_sequence,stop_name,baseline_ridership,scenario_ridership
3,3,303712,4,EMPIRE BLVD/ROGERS AV,74.83401639,73.80457151
3,4,303713,5,EMPIRE BLVD/NOSTRAND AV,294.5594262,278.157708
3,5,303714,6,EMPIRE BLVD/NEW YORK AV,39.80532787,33.59335747
3,6,306974,7,EMPIRE BLVD/BROOKLYN AV,15.92213115,16.54529906
3,7,306322,8,EMPIRE BLVD/LAMONT CT,44.58196721,48.65251847
3,8,303717,9,KINGSTON AV/MONTGOMERY ST,27.06762295,24.27104513
3,9,303718,10,KINGSTON AV/CARROLL ST,4.776639344,4.962926769
3,10,308136,11,KINGSTON AV/UNION ST,240.4241803,261.547826
3,11,303720,12,KINGSTON AV/SAINT JOHNS PL,19.10655738,16.28828725
3,12,303722,13,KINGSTON AV/PROSPECT PL,19.10655738,16.09550479
3,13,303723,14,KINGSTON AV/BERGEN ST,9.553278689,9.825614156
3,14,303724,15,KINGSTON AV/PACIFIC ST,3.18442623,3.172434614
3,15,303725,16,KINGSTON AV/ATLANTIC AV,11.1454918,13.41960853
3,16,303726,17,KINGSTON AV/FULTON ST,366.2090164,385.0756679
3,17,303727,18,THROOP AV/FULTON ST,11.1454918,12.03941978
3,18,303728,19,THROOP AV/MACDONOUGH ST,4.776639344,4.661769088
3,19,303729,20,THROOP AV/HALSEY ST,9.553278689,9.580359527
3,20,303730,21,THROOP AV/JEFFERSON AV,28.65983607,30.34825885
3,21,303731,22,THROOP AV/MADISON ST,30.25204918,24.18069716
3,22,303732,23,THROOP AV/GATES AV,20.69877049,21.98397999
3,23,303733,24,THROOP AV/GREENE AV,19.10655738,16.3763779
3,24,303734,25,THROOP AV/LAFAYETTE AV,22.29098361,23.68281602
3,25,303735,26,THROOP AV/DE KALB AV,46.17418033,47.46497475
3,26,303736,27,THROOP AV/HART ST,81.20286885,72.22680831
3,27,303737,28,THROOP AV/MYRTLE AV,65.2807377,64.297234
3,28,303738,29,THROOP AV/PARK AV,17.51434426,16.19651194
3,29,304663,30,FLUSHING AV/THROOP AV,41.39754098,38.26772194
3,30,304664,31,FLUSHING AV/BROADWAY,178.3278689,161.3877429
3,31,306600,32,GRAHAM AV/COOK ST,25.47540984,22.99405623
3,32,306676,33,GRAHAM AV/SEIGEL ST,17.51434426,18.06399726
3,33,306677,34,GRAHAM AV/JOHNSON AV,12.73770492,14.52713169
3,34,306474,35,GRAHAM AV/SCHOLES ST,20.69877049,21.29411936
3,35,305263,36,GRAHAM AV/GRAND ST,33.43647541,35.98999724
3,36,305264,37,GRAHAM AV/AINSLIE ST,25.47540984,23.63462108
3,37,305265,38,GRAHAM AV/METROPOLITAN AV,60.50409836,68.29253531
3,38,306476,39,GRAHAM AV/JACKSON ST,114.6393443,121.951728
3,39,307114,40,GRAHAM AV/MEEKER AV,74.83401639,79.4261341
3,40,306622,41,GRAHAM AV/BAYARD ST,89.16393443,70.61939522
3,41,305271,42,GRAHAM AV/ENGERT AV,49.35860656,48.18256289
3,42,305272,43,GRAHAM AV/DRIGGS AV,49.35860656,57.90135617
3,43,306623,44,DRIGGS AV/LEONARD ST,17.51434426,14.91155773
3,44,307121,45,MANHATTAN AV/NASSAU AV,3.18442623,2.930195764
3,45,305155,46,MANHATTAN AV/NORMAN AV,35.02868852,30.4609065
3,46,305156,47,MANHATTAN AV/MESEROLE AV,38.21311475,39.13463456
3,47,305157,48,MANHATTAN AV/CALYER ST,103.4938525,122.3761047
3,48,305159,49,MANHATTAN AV/GREENPOINT AV,93.94057377,96.66613353
3,49,308186,50,MANHATTAN AV/INDIA ST,97.125,108.6052669
3,50,305284,51,MANHATTAN AV/EAGLE ST,101.9016393,99.41375698
3,51,308187,52,MANHATTAN AV/CLAY ST,23.88319672,23.88194369
3,52,305286,53,BOX ST/MANHATTAN AV,116.2315574,127.9529407
4,0,901736,1,LINCOLN RD/OCEAN AV,203.8032787,201.9286032
4,1,303710,2,EMPIRE BLVD/WASHINGTON AV,35.02868852,41.43993918
4,2,303711,3,EMPIRE BLVD/BEDFORD AV,11.1454918,11.41459169
4,3,303712,4,EMPIRE BLVD/ROGERS AV,74.83401639,75.76635879
4,4,303713,5,EMPIRE BLVD/NOSTRAND AV,294.5594262,282.2818511
4,5,303714,6,EMPIRE BLVD/NEW YORK AV,39.80532787,41.58448126
4,6,306974,7,EMPIRE BLVD/BROOKLYN AV,15.92213115,15.58964035
